8.3216999999999997e-01 -2.2313000000000000e-01 -9.5565100000000003e-01  -9.1113094487848763e+00 -1.1450340108506913e+01 4.4627335592107862e+00 2.9430367412878842e+00
8.9503699999999997e-01 -3.3665499999999998e-01 -5.2762999999999997e-02  -3.7105322104868108e+00 3.7834972666051703e-01 8.6422897590346235e+00 4.0296762916949245e+00
-2.5530000000000003e-01 -1.0869880000000001e+00 -1.0502790000000000e+00  2.8501788408185191e-01 -5.5793703415557445e+00 -3.8742933682117120e-01 8.7147769593973994e+00
-3.4602600000000000e-01 5.5897300000000005e-01 -4.4931199999999999e-01  -7.1223382644836892e+00 -5.1609482450703279e+00 8.9118449593189730e+00 8.2270930901740047e-01
-9.1869299999999998e-01 3.8785100000000000e-01 4.5450099999999999e-01  -1.1785796188157192e+01 4.2267347326200433e+00 2.1397068830351391e+00 4.7593061031606987e-01
-1.8804299999999999e-01 1.6086800000000001e-01 -1.0991970000000000e+00  -1.2150919010075667e+01 -1.1967802325811546e+01 8.5742849758374184e+00 2.3490964997237600e+00
-1.0012650000000001e+00 -8.0892299999999995e-01 -7.6378400000000002e-01  -6.9004157228089271e+00 -6.6015890020265742e+00 6.2426874309007703e+00 3.1619334978058364e+00
-5.1065899999999997e-01 -1.0782719999999999e+00 9.8349100000000000e-01  -1.9122908607112623e+00 -4.3914186836976282e-01 4.5584800363802946e+00 1.0645628660770369e+01
3.4740500000000002e-01 6.6211699999999996e-01 -9.4533299999999998e-01  -7.8963146444172443e+00 -1.8939316592742948e+01 5.6194562455575952e+00 6.7971935165836772e-01
-2.7314000000000001e-02 -9.9527500000000002e-01 9.7906800000000005e-01  -1.0081638253786691e+00 -1.9029799687914537e+00 6.6347788272948227e+00 6.7039353090603386e+00
-7.0481600000000000e-01 -6.8138100000000001e-01 -8.5693299999999994e-01  -3.2649578318970827e+00 -6.6760395525429601e+00 3.9434244599704433e+00 9.4385014041871589e+00
-7.2244699999999995e-01 -1.8141599999999999e-01 -6.2021899999999996e-01  -8.7063532494647085e+00 -7.3903358629237879e+00 7.0774447280895227e+00 1.6627572090772642e+00
-2.3840400000000000e-01 -9.1764699999999999e-01 7.7187300000000003e-01  -3.7851927735017408e+00 -3.9916679524488381e+00 5.5977298351183959e+00 8.3284346751738543e+00
-7.9770999999999995e-02 8.9377799999999996e-01 3.1859300000000002e-01  -6.0437944158998054e+00 -5.5769989790285539e+00 1.1371239766193947e+01 -8.1504531030242888e-01
-9.3957199999999996e-01 -9.3216500000000002e-01 1.5504599999999999e-01  -1.0290388569076305e+00 -3.9301861788476176e+00 3.0105721674858232e+00 7.0492205823485348e+00
-6.3026599999999999e-01 4.7269299999999997e-01 -8.4743000000000002e-01  -8.2919593287331299e+00 -6.0990601236072601e+00 2.8369534566606847e+00 -1.9326434703010986e+00
7.0305600000000001e-01 -9.3501599999999996e-01 2.9722300000000001e-01  -7.0899635248703179e+00 -4.1140020110884965e+00 7.1100028512604689e+00 3.9078207497666622e+00
4.0076200000000001e-01 7.2531299999999999e-01 9.7076099999999999e-01  -9.7744939208497055e+00 1.0052731116373819e+00 7.4135123668296963e+00 4.4736711779064842e-01
2.6105899999999999e-01 1.0673500000000000e+00 -9.9384300000000003e-01  1.5812106883435342e-01 -1.3361934033432526e+01 5.9411587849225803e-02 -1.6079175386858078e+00
8.8887400000000005e-01 3.9979900000000002e-01 -7.2406899999999996e-01  -7.9559529329284349e+00 -7.4836922408543236e+00 9.9718281747908328e+00 -2.1453147974204212e-01
1.8861700000000001e-01 -2.2969000000000000e-02 -9.9414000000000002e-01  -1.0274673151646867e+01 -9.8690639164645848e+00 7.9979331992354794e+00 6.0907497263071164e+00
6.3640500000000000e-01 -6.8901699999999999e-01 -1.0897950000000001e+00  -2.5303764121300620e+00 -1.0210176682598137e+01 2.6174735658222086e+00 5.2569895920972725e+00
-3.4330500000000003e-01 6.2052000000000003e-02 -1.0528820000000001e+00  -1.5114739431654321e+01 -1.2109723315641235e+01 6.3836447689955662e+00 2.2409172388355354e+00
2.3687700000000000e-01 1.0334960000000000e+00 7.5024299999999999e-01  -7.4031982462644814e+00 -1.9383907413497079e+00 1.2854466710196270e+01 -1.1001886276260964e+00
3.2281300000000002e-01 -8.7107999999999997e-01 8.8013699999999995e-01  -8.7056950867191096e-01 -2.8812392335156396e+00 4.8197412833591367e+00 2.2344396294817015e+00
8.3984800000000004e-01 8.0701900000000004e-01 -2.5048100000000001e-01  -3.3780098579779145e+00 -8.7310045174135098e+00 8.0871647035751799e+00 -6.1591382244215849e+00
-6.2342399999999998e-01 -2.8721700000000000e-01 5.5926900000000002e-01  -1.5875445795658767e+00 -4.5068164185988335e+00 5.9692829899187494e+00 5.7577613261434477e+00
5.0749900000000003e-01 -5.6023900000000004e-01 -6.9500999999999993e-02  -8.0158809044601771e+00 -2.9843664976508029e+00 1.3650788623430312e+01 1.0770261346521433e+00
7.5729800000000003e-01 -2.8214000000000000e-01 8.0162500000000003e-01  -7.1705927865580694e+00 -2.3062723908273335e+00 6.3161081381452915e+00 4.3193048313429383e+00
1.0807560000000000e+00 5.1622299999999999e-01 4.2663899999999999e-01  -7.1518514887154030e+00 -3.1445240035226507e+00 8.1839020893243166e+00 -1.7625987566813823e+00
-4.5115300000000003e-01 2.8211799999999998e-01 -1.0419389999999999e+00  -1.1422757610466679e+01 -8.6403937345221618e+00 4.2929475632539553e+00 6.7727935132501904e-01
-1.0027699999999999e+00 -5.6268899999999999e-01 3.0414600000000003e-01  -3.1835707402101314e+00 -2.5720422063861390e+00 3.6287610710874718e+00 4.9213994897395130e+00
-9.1591100000000003e-01 6.6585799999999995e-01 -2.1975400000000000e-01  -4.8781468596978890e+00 2.2511519467822123e+00 1.4039079879984540e+00 1.6302399284935065e+00
4.5722299999999999e-01 -4.7650599999999999e-01 -1.2019100000000001e-01  -7.8147755951970854e+00 -4.2002708345821373e+00 1.4214100184533169e+01 6.6374953805629455e-01
-3.2128899999999999e-01 -1.0233930000000000e+00 7.5854600000000005e-01  4.1709683653273177e-01 1.8994329650187622e+00 -1.1493475709818199e+00 1.2204311207201155e+01
-1.0130100000000000e-01 -7.7038499999999999e-01 -7.7888800000000002e-01  -4.8667813355747569e+00 -6.8024862815062059e+00 4.6301915444102075e+00 7.5006311467834328e+00
3.2684200000000002e-01 -7.7162399999999998e-01 2.7395700000000001e-01  -6.7947040866140096e+00 -4.8146181175880578e+00 1.1694752023391727e+01 4.3708003398989490e+00
1.0656380000000001e+00 8.1608700000000001e-01 7.1820300000000004e-01  -7.5919774126797224e+00 -1.4000667798170108e+00 7.7105255070059657e+00 -1.2165284231711593e-01
3.9119399999999999e-01 -8.9137200000000005e-01 -5.1740200000000003e-01  -2.3834591271002483e+00 -7.0290138117188992e+00 6.4678092148615871e+00 1.2954217162241344e+00
-4.8920999999999999e-02 4.8395300000000002e-01 -8.7965000000000004e-01  -8.8107609530341033e+00 -1.4488720273760370e+01 7.2987414019356738e+00 2.8566928428536693e+00
-1.7434700000000000e-01 -2.6264599999999999e-01 4.6517900000000001e-01  -3.9828743450996118e-01 -6.5561082648928604e-01 8.2009865143817393e+00 3.7920777041105156e+00
