1.5338299999999999e-01 -2.3456800000000000e-01 -5.7459700000000002e-01  1.3818513665250584e-01 -6.7017959011643535e-02
4.7255500000000000e-01 6.2098100000000001e-01 -6.3151900000000005e-01  5.0440069152679456e-01 2.0272193237239658e-01
-1.2508589999999999e+00 4.8675299999999999e-01 9.8809999999999992e-03  -8.3882513108171797e-01 -2.0627741339668570e-01
-1.5678800000000001e-01 -7.4190199999999995e-01 -2.7422600000000003e-01  -3.6315291165897007e-01 3.5922711215007092e-01
-1.1093839999999999e+00 -4.6608999999999998e-02 1.2847670000000000e+00  -6.5087091658677665e-01 -2.1578559327380224e-02
8.8124000000000002e-01 -1.0420469999999999e+00 -4.1009999999999998e-02  -7.0591931131307656e-02 3.0671756519401444e-01
-1.0650919999999999e+00 -9.8614400000000002e-01 -8.1035500000000005e-01  3.5461338059794706e-02 -3.9988571390138200e-01
-6.1669399999999996e-01 7.5224100000000005e-01 1.3969699999999999e-01  -6.0444232651439456e-01 -2.2152836586945340e-01
-1.0996030000000001e+00 6.7652900000000005e-01 4.6442000000000000e-01  -5.1708795630694970e-01 5.0407959940764815e-02
-1.2639339999999999e+00 -7.3347200000000001e-01 -8.4553000000000000e-01  5.7808916734899726e-02 -5.3673404421506410e-01
-1.0663750000000001e+00 1.0862010000000000e+00 3.5541600000000001e-01  -3.4502244207065591e-01 -1.2362111598576829e-02
5.7841399999999998e-01 -6.6689600000000004e-01 8.0426999999999998e-02  -1.0948090988104858e-01 4.4420622973300883e-01
-2.1608300000000000e-01 -3.1425300000000000e-01 -2.0814700000000000e-01  -5.4655452422721004e-02 4.8439761449014650e-02
9.5437700000000003e-01 -1.2385770000000000e+00 -4.0469500000000003e-01  8.3811683929261027e-02 2.9808707442259258e-01
6.0536699999999999e-01 -1.0753470000000001e+00 -1.7875800000000000e-01  -4.1113821908114759e-02 2.9913153103066337e-01
1.0763659999999999e+00 4.0456799999999998e-01 -2.4270200000000000e-01  4.5207011271264103e-01 5.4821751047449052e-01
7.8468700000000002e-01 5.4136799999999996e-01 8.8482499999999997e-01  -6.7752079033218959e-01 3.8250206067027503e-01
9.7047300000000003e-01 9.8002999999999996e-01 6.5619499999999997e-01  -7.2403910935178861e-01 5.4992516464052832e-01
1.0764240000000000e+00 5.5623100000000003e-01 -1.8137000000000000e-01  2.6169843727724884e-01 4.8986376792365366e-01
6.3579399999999997e-01 1.3762999999999999e-02 2.7269399999999999e-01  -3.3561721111430454e-01 9.1050005633347253e-01
1.8378400000000000e-01 -1.2258890000000000e+00 1.1961670000000000e+00  -8.4620975831437251e-01 -5.5434759968536329e-01
3.7785000000000002e-01 -2.1089300000000000e-01 8.8928499999999999e-01  -7.8566915780082114e-01 4.2368416236674894e-01
-4.9220500000000000e-01 -3.0187300000000000e-01 2.9829999999999999e-02  -5.1609281846843269e-01 1.3770656180282009e-01
3.8135999999999998e-01 7.0199699999999998e-01 1.4304190000000001e+00  -4.8505340613676512e-01 -4.0231135108179483e-01
-4.2640099999999997e-01 -5.2924700000000002e-01 8.1712000000000007e-02  -5.4093298585214811e-01 1.2134693843212378e-01
8.1269800000000003e-01 9.4265399999999999e-01 1.2855790000000000e+00  -6.2273017878525239e-01 -4.1914375588002505e-02
3.6324600000000001e-01 -5.4683000000000002e-02 -8.2063600000000003e-01  2.6721770540109868e-01 7.9797800375459971e-02
