1.5338299999999999e-01 -2.3456800000000000e-01 -5.7459700000000002e-01  1.4370769647249004e+01 -2.6976703930812089e+01
4.7255500000000000e-01 6.2098100000000001e-01 -6.3151900000000005e-01  2.7189149714991121e+01 2.5939558641015708e+01
-1.2508589999999999e+00 4.8675299999999999e-01 9.8809999999999992e-03  -4.6521168887863432e+01 -5.8776965735976219e+01
-1.5678800000000001e-01 -7.4190199999999995e-01 -2.7422600000000003e-01  1.0094925004061691e+01 1.8475132212959490e+01
-1.1093839999999999e+00 -4.6608999999999998e-02 1.2847670000000000e+00  2.9747947630474329e+01 -7.8431327368301462e-01
8.8124000000000002e-01 -1.0420469999999999e+00 -4.1009999999999998e-02  -5.4166485111537106e+01 -5.8730708943711370e+01
-1.0650919999999999e+00 -9.8614400000000002e-01 -8.1035500000000005e-01  -4.8861551855875458e+00 3.2183432987307810e+01
-6.1669399999999996e-01 7.5224100000000005e-01 1.3969699999999999e-01  -1.6935639488933646e+01 7.2629631804216714e+01
-1.0996030000000001e+00 6.7652900000000005e-01 4.6442000000000000e-01  -8.1667177292963260e+01 3.2718012903716442e+01
-1.2639339999999999e+00 -7.3347200000000001e-01 -8.4553000000000000e-01  1.1693458790904222e+01 -2.1299546203905500e+01
-1.0663750000000001e+00 1.0862010000000000e+00 3.5541600000000001e-01  -1.0746084403978131e+01 2.6694185109556280e+01
5.7841399999999998e-01 -6.6689600000000004e-01 8.0426999999999998e-02  4.7964046294781156e+01 2.6899651953128931e+01
-2.1608300000000000e-01 -3.1425300000000000e-01 -2.0814700000000000e-01  1.7133835686310877e+00 1.5106630418500364e+01
9.5437700000000003e-01 -1.2385770000000000e+00 -4.0469500000000003e-01  3.3253379339473170e+01 1.8597177431748531e+01
6.0536699999999999e-01 -1.0753470000000001e+00 -1.7875800000000000e-01  2.7140210322263137e+01 2.0700297213825905e+01
1.0763659999999999e+00 4.0456799999999998e-01 -2.4270200000000000e-01  1.2616959520234401e+01 -1.2769049616405958e+01
7.8468700000000002e-01 5.4136799999999996e-01 8.8482499999999997e-01  -4.1885308204775967e+01 4.2448061695593367e+01
9.7047300000000003e-01 9.8002999999999996e-01 6.5619499999999997e-01  3.0702864794893845e+00 7.7951037490801340e+00
1.0764240000000000e+00 5.5623100000000003e-01 -1.8137000000000000e-01  7.1953435036244180e+00 2.0560096466246382e+01
6.3579399999999997e-01 1.3762999999999999e-02 2.7269399999999999e-01  5.3933677306765979e+01 9.6510564868937809e+00
1.8378400000000000e-01 -1.2258890000000000e+00 1.1961670000000000e+00  6.0334678823744303e-01 -6.5815580058710282e+01
3.7785000000000002e-01 -2.1089300000000000e-01 8.8928499999999999e-01  5.1002288616347272e+01 -6.7294966777572629e+00
-4.9220500000000000e-01 -3.0187300000000000e-01 2.9829999999999999e-02  4.1982789613664423e+01 -7.6465439642871438e+00
3.8135999999999998e-01 7.0199699999999998e-01 1.4304190000000001e+00  -2.3654489058890530e+01 -6.6465353792247992e+00
-4.2640099999999997e-01 -5.2924700000000002e-01 8.1712000000000007e-02  -2.8554620260569379e+01 2.2268826714313814e+01
8.1269800000000003e-01 9.4265399999999999e-01 1.2855790000000000e+00  5.1322949927685798e+01 -1.2072177065686942e+01
3.6324600000000001e-01 -5.4683000000000002e-02 -8.2063600000000003e-01  6.2533769269691419e+01 -7.6128164549551471e+01
4.7877999999999998e-01 -8.2870800000000000e-01 5.8288600000000002e-01  1.5194988277759084e+01 3.1418248685938391e+01
2.5214300000000001e-01 -8.0782500000000002e-01 -1.0221400000000000e-01  -2.7421377608157829e+00 -3.6051384203812418e+01
2.4809000000000000e-01 4.8781500000000000e-01 2.2909800000000000e-01  4.6218636112654092e+00 1.0821412952053581e+01
6.5700700000000001e-01 -8.5490900000000003e-01 -4.2072799999999999e-01  6.9651609602640292e+00 -7.2375705029034066e+01
-6.9054899999999997e-01 -6.5142199999999995e-01 1.0637000000000001e-01  -1.9150484785087904e-01 7.1908923368116916e+01
8.3810200000000001e-01 7.4491200000000002e-01 1.1719010000000001e+00  1.2397172010121940e+01 5.1999319956026566e+00
1.4980099999999999e-01 -1.5339999999999999e-02 5.6525300000000001e-01  9.5995672621922807e+01 1.2283776967441722e+02
-1.1126430000000000e+00 -2.2215699999999999e-01 7.5048499999999996e-01  -2.6951395653717157e+01 5.8018110357158577e+01
9.9532999999999996e-02 -3.8598399999999999e-01 9.8109700000000000e-01  -8.1187403758881320e+00 1.7074551800778003e+01
-1.1931909999999999e+00 1.0265869999999999e+00 -5.7802100000000001e-01  2.3158509154797013e+01 -5.4771043797684015e+01
9.5574700000000001e-01 -1.1733579999999999e+00 -7.9345800000000000e-01  3.5807203515554917e+00 -3.4237700845987682e+00
2.5945900000000000e-01 9.1106799999999999e-01 -5.7814699999999997e-01  -2.4819133173801256e+02 -2.5789585800557376e+02
-2.0826800000000001e-01 -4.3185000000000001e-01 -3.9437000000000000e-02  -2.5570932259115262e-02 -2.0361011148902580e+01
-9.4239099999999998e-01 5.4814099999999999e-01 5.7138100000000003e-01  1.1608299135156866e+01 -2.1257080235972467e+01
8.6769900000000000e-01 -4.7449799999999998e-01 -5.1991200000000004e-01  -7.5520641576170772e+02 2.6203012553228596e+03
-8.8937400000000000e-01 -5.1397899999999996e-01 -8.7175400000000003e-01  -7.3869577807974679e+01 1.1922937148353990e+01
-6.2039000000000000e-01 -2.8369000000000000e-01 1.7704200000000000e-01  6.0336575881015904e+01 -2.5292055137723025e+01
6.3892400000000005e-01 -9.4671700000000003e-01 -7.6378199999999996e-01  -7.1666829721484975e+00 -7.4030046358940487e+00
-3.3075399999999999e-01 -9.5757599999999998e-01 3.7250000000000000e-03  6.0025718519209825e+01 -7.3757197699368689e+01
-6.5740000000000000e-03 6.4182099999999997e-01 -8.1865399999999999e-01  -2.2566166307205076e+01 -2.4124551610723540e+01
7.3044799999999999e-01 -4.8810599999999998e-01 6.6541499999999998e-01  5.4777173259509262e+01 4.4932379717647656e+01
1.0200959999999999e+00 2.3387500000000000e-01 -7.2695500000000002e-01  -6.4673381765200702e+01 5.9864913203307189e+01
-7.7314700000000003e-01 -5.1518900000000001e-01 5.9353800000000001e-01  -3.7597944753713350e+01 -1.1368973611140879e+02
-1.1549480000000001e+00 3.8114100000000001e-01 -3.7793900000000002e-01  4.9369241612972722e+01 9.3809415175557764e-01
-4.8201699999999997e-01 -1.0454200000000000e-01 -3.3643000000000001e-01  1.9728105040541650e+00 -4.4952776912103715e+01
9.1929000000000005e-01 7.2569399999999995e-01 2.7268199999999998e-01  -1.1568643365545248e+00 -2.6506180584003680e+01
2.6345299999999999e-01 -2.4917200000000000e-01 -8.1454499999999996e-01  2.6345929957773965e+01 5.6375619199414677e+00
-5.3872699999999996e-01 -1.2365560000000000e+00 1.4652100000000001e-01  3.4666690774912510e+01 -3.2047362267207994e+01
-6.1682800000000004e-01 -9.0737800000000002e-01 1.3158829999999999e+00  1.6305723093526719e+01 9.0374397935677049e+00
-3.3443299999999998e-01 -5.5588800000000005e-01 8.4062000000000003e-01  -1.1170504278235782e+01 1.3823402999519674e+01
-1.3068000000000000e-02 -2.1263899999999999e-01 8.0251499999999998e-01  -2.3636627505562636e+01 4.9714984105922495e+00
-4.6933799999999998e-01 -4.7958000000000001e-02 -4.9334000000000000e-01  7.7407035326228808e+01 -8.1325812523157612e+00
-1.0197299999999999e-01 -6.0738499999999995e-01 4.5399600000000001e-01  4.8230335457666555e+01 -6.3778455215194086e+01
6.6885399999999995e-01 -3.2869799999999999e-01 8.2387900000000003e-01  4.7366943756882653e+00 -8.0103921461044123e+01
-8.0730000000000002e-01 6.1371699999999996e-01 4.0772599999999998e-01  4.7578113368019075e+01 -1.9182783214398860e+01
-2.4730199999999999e-01 -6.6779299999999997e-01 -5.2692499999999998e-01  1.4473857042581548e+01 3.4901619553003400e+01
8.0371999999999999e-01 1.3106000000000001e-01 5.0114999999999998e-01  8.9337058543377168e+00 8.1058131997271037e+00
-1.1491560000000001e+00 -3.2694699999999999e-01 -6.8691300000000000e-01  1.6251905550043041e+01 1.6846034148070652e+00
1.0231699999999999e+00 4.4888299999999998e-01 -5.9703799999999996e-01  2.4211206051127302e+01 4.6341180470424650e+00
1.0550530000000000e+00 8.7858499999999995e-01 2.1150099999999999e-01  -2.9213770815994327e+01 -2.1078227616128984e+01
-2.6419100000000001e-01 -4.4999999999999999e-04 9.4579700000000000e-01  -1.2418804308697840e+01 -4.1902341809597630e+01
1.6972999999999999e-01 4.9024400000000001e-01 -2.1613000000000000e-02  -1.5799413663060536e+01 -8.5777046256697425e+00
1.7698800000000001e-01 9.5195700000000005e-01 1.3436999999999999e+00  -3.3575747662027354e+01 -2.5822015557154767e+01
-8.3106999999999998e-01 -7.1826599999999996e-01 1.3306960000000001e+00  1.5650243502268980e+01 -1.1659203425017075e+00
1.8651100000000001e-01 -3.7375399999999998e-01 -3.4564600000000001e-01  4.2963173292953822e+00 1.8854335628298752e+01
4.6593800000000002e-01 -9.7659399999999996e-01 4.0921299999999999e-01  5.4884297080269242e+00 4.1581658030641165e+01
1.0062620000000000e+00 -2.7883100000000000e-01 -4.2265200000000003e-01  1.2956258503588685e+00 2.4648515333800233e+01
-1.2534360000000000e+00 8.2851799999999998e-01 1.0949800000000001e+00  -1.8214845842827060e+01 -1.4516707355988758e+00
