-3.9374799999999999e-01 -2.3650099999999999e-01 -4.4652700000000001e-01  -2.0587985816768719e+00 -1.7859880299795687e+00 -1.3810047504108158e+00 -1.8263005164314612e+00 1.6171463469372764e+00 2.4971649100705967e-01
-4.8004799999999997e-01 -5.0970000000000004e-01 1.2138930000000001e+00  1.8998404078793911e+00 -1.3539457150488503e+00 1.2870226939827298e-01 3.0754048652299675e+00 1.6373816298825563e+00 1.5678409561766737e+00
2.6851100000000000e-01 -8.4823499999999996e-01 -3.6967200000000000e-01  2.7835311614208349e+00 6.7807251183557160e-01 -2.2940404331851711e+00 -4.9956029652720652e-01 3.9768144468125546e+00 1.1818835529320242e+00
4.3380700000000000e-01 -1.2207500000000000e+00 1.3773919999999999e+00  1.1004137024660683e+00 -1.7844587594600909e+00 -2.7709705313455451e+00 3.8302752091539092e+00 8.6639265264511700e-01 -1.6382726594923982e+00
-8.8086500000000001e-01 2.2448299999999999e-01 1.2236330000000000e+00  -1.5040652520053706e+00 8.9700322857313730e-01 2.5688015538456739e+00 1.0651957727355192e+00 1.5883487680442995e-01 -1.4018165136907804e-01
6.1718600000000001e-01 1.0022120000000001e+00 3.7819300000000000e-01  -3.5091023657124443e-01 -1.2712902090496780e+00 -1.8520059388729623e-02 -1.3961220379473211e+00 -7.6305892752232951e-01 2.1012115902552422e+00
6.7229799999999995e-01 -5.6824500000000000e-01 2.4558000000000000e-02  -1.2881593938715479e+00 -3.6928587577213534e+00 -6.6248197016333936e+00 1.0614675501850849e+01 -2.7871191406968707e+00 3.0388541471908894e+00
-2.1596199999999999e-01 -8.7423899999999999e-01 -6.8118999999999996e-01  -2.3756298372870659e+00 5.9657888710536637e+00 -4.5199820484730968e-01 -3.9253592289529768e+00 -2.6916818562845011e+00 8.2369190591446140e-01
4.6829000000000003e-02 -4.3130000000000000e-03 1.2022900000000000e-01  1.3993016580684934e+00 -5.6043457977027844e-01 7.5308535478011562e-01 -1.1878476275495085e+00 -9.0202305517895220e-01 -1.4133913415383952e+00
2.9857699999999998e-01 -7.3385000000000000e-01 1.3978980000000001e+00  -5.0432376964395353e-01 -5.5549840238441095e-01 7.9674534551242127e-01 -1.9993262595109300e-02 1.9183595608884489e+00 -9.2283682699710223e-01
6.0212399999999999e-01 8.6459399999999997e-01 -6.5516399999999997e-01  2.1790428244565576e+00 2.9491985210947846e+00 -7.2170374117360980e-01 2.4287906274691912e-01 -4.4536218544529982e+00 2.7455487327821437e+00
9.1881299999999999e-01 -6.3610900000000004e-01 -2.5680999999999999e-02  -3.1606550786521121e+00 -1.9892964085464726e+00 2.2981996808005869e+00 1.6093641119264608e+00 -9.6458791139703226e-01 6.1566601151432687e-01
-6.1517400000000000e-01 -2.6906300000000000e-01 -5.9725600000000001e-01  3.7348676647200940e+00 1.2494675248393445e+01 3.7904484071015414e+00 7.2516994784916955e+00 -7.5995703272911885e-01 -1.3395579057090035e+00
2.1703600000000001e-01 7.7675499999999997e-01 1.1820430000000000e+00  -3.2070321047983197e-01 -1.1198794419904821e+00 5.1367053580490296e+00 1.3068102943048507e+00 -3.4878971397738709e+00 -9.2724709449604958e-01
5.0938000000000005e-01 1.5078400000000000e-01 2.3254400000000000e-01  -5.5689854013693796e-01 -3.0714167206966597e-01 8.4670482659384820e+00 2.8400198450140368e+00 -1.0464812388016934e+01 -6.3433188865174497e+00
-3.1846400000000002e-01 -3.8143800000000000e-01 1.1716860000000000e+00  1.9407347804112582e+00 1.1804839923277934e+00 1.6246159789546230e-02 1.2876237922568676e+00 5.9707138409386529e+00 1.9431667268758845e+00
-1.1335400000000000e+00 9.5388300000000004e-01 5.4671999999999998e-02  -3.2080893186978194e+00 -2.1301046759252675e+00 5.7630759515696872e-01 -3.3089837314821058e-01 1.8984119415925729e+00 3.5538544104371499e+00
-8.3479300000000001e-01 -6.6258700000000004e-01 4.1261799999999998e-01  1.4038294487306806e+00 -4.1083973786175387e-01 2.1594865383024513e+00 7.4601380335209222e-01 1.9202072888385326e+00 5.1167719738163642e-01
4.8248700000000000e-01 -1.1838230000000001e+00 -1.7259600000000000e-01  -1.8014259979522889e+00 5.9916690867571765e-01 -4.4482382958399730e-01 8.0712673774579680e-01 8.1806589032014942e-01 -5.8843275122583394e-01
-6.1948599999999998e-01 -1.1093249999999999e+00 4.0597000000000001e-02  -2.5522204249891067e+00 1.8821146113830585e+00 2.5969349772840484e+00 1.6662403094327871e+00 -7.6977538368349607e-01 -2.7533772381234587e+00
